ID    NODE LAT     NODE LON     FRIENDS LIST                           CENTROID COORD LIST 
23      -0.0000000  198.0000000 {  289,  292,  291,  288,  290,  293}, {( -2.3256323,  193.4750458), (  2.7556799,  193.5332519), (  5.0861522,  198.0599205), (  2.3256323,  202.5249542), ( -2.7556799,  202.4667481), ( -5.0861522,  197.9400795)} 
24      31.7174744  180.0000000 {  299,  295,  297,  296,  294,  298}, {(  28.9972386,  175.0177079), (  34.2326136,  174.7283595), (  36.9643990,  180.0000000), (  34.2326136,  185.2716405), (  28.9972386,  184.9822921), (  26.4705499,  180.0000000)} 
25      31.7174744  252.0000000 {  304,  300,  302,  303,  301,  305}, {(  28.9972386,  247.0177079), (  34.2326136,  246.7283595), (  36.9643990,  252.0000000), (  34.2326136,  257.2716405), (  28.9972386,  256.9822921), (  26.4705499,  252.0000000)} 
26      -0.0000000  306.0000000 {  311,  308,  306,  309,  310,  307}, {( -2.7556799,  301.5332519), (  2.3256323,  301.4750458), (  5.0861522,  305.9400795), (  2.7556799,  310.4667481), ( -2.3256323,  310.5249542), ( -5.0861522,  306.0599205)} 
27      -0.0000000  270.0000000 {  313,  314,  315,  312,  316,  317}, {( -2.3256323,  265.4750458), (  2.7556799,  265.5332519), (  5.0861522,  270.0599205), (  2.3256323,  274.5249542), ( -2.7556799,  274.4667481), ( -5.0861522,  269.9400795)} 
28      31.7174744  324.0000000 {  322,  318,  321,  320,  319,  323}, {(  28.9972386,  319.0177079), (  34.2326136,  318.7283595), (  36.9643990,  324.0000000), (  34.2326136,  329.2716405), (  28.9972386,  328.9822921), (  26.4705499,  324.0000000)} 
29      -0.0000000   18.0000000 {  329,  326,  324,  327,  328,  325}, {( -2.7556799,  13.5332519), (  2.3256323,  13.4750458), (  5.0861522,  17.9400795), (  2.7556799,  22.4667481), ( -2.3256323,  22.5249542), ( -5.0861522,  18.0599205)} 
30      -0.0000000  342.0000000 {  331,  332,  333,  330,  334,  335}, {( -2.3256323,  337.4750458), (  2.7556799,  337.5332519), (  5.0861522,  342.0599205), (  2.3256323,  346.5249542), ( -2.7556799,  346.4667481), ( -5.0861522,  341.9400795)} 
31      31.7174744   36.0000000 {  340,  336,  339,  338,  337,  341}, {(  28.9972386,  31.0177079), (  34.2326136,  30.7283595), (  36.9643990,  36.0000000), (  34.2326136,  41.2716405), (  28.9972386,  40.9822921), (  26.4705499,  36.0000000)} 
32      -0.0000000   90.0000000 {  347,  344,  342,  345,  346,  343}, {( -2.7556799,  85.5332519), (  2.3256323,  85.4750458), (  5.0861522,  89.9400795), (  2.7556799,  94.4667481), ( -2.3256323,  94.5249542), ( -5.0861522,  90.0599205)} 
33      -0.0000000   54.0000000 {  349,  350,  351,  348,  352,  353}, {( -2.3256323,  49.4750458), (  2.7556799,  49.5332519), (  5.0861522,  54.0599205), (  2.3256323,  58.5249542), ( -2.7556799,  58.4667481), ( -5.0861522,  53.9400795)} 
