ID    NODE_LAT     NODE_LON     FRIENDS LIST                          CENTROID COORD LIST
26     31.723007   252.000000   {  18,   14,   21,   33,   38,   30}, {( 40.088263, 274.658695), ( 20.096626, 270.291506), ( 10.814161, 252.000000), ( 20.096626, 233.708494), ( 40.088263, 229.341305), ( 52.626005, 252.000000)} 
27    -26.570000   144.000000   {  39,   34,   23,   15,   32,   -1}, {(-20.096626, 161.708494), (-40.088263, 157.341305), (-40.088263, 130.658695), (-20.096626, 126.291506), ( -9.087292, 144.000000), ( -1.000000,  -1.000000)} 
28    -26.570000   288.000000   {   9,   16,   24,   35,   21,   -1}, {(-20.096626, 305.708494), (-40.088263, 301.341305), (-40.088263, 274.658695), (-20.096626, 270.291506), ( -9.087292, 288.000000), ( -1.000000,  -1.000000)} 
29     58.285000   144.000000   {  20,   30,   37,   36,   25,   17}, {( 72.521997, 180.000000), ( 52.626005, 180.000000), ( 40.088263, 157.341305), ( 40.088263, 130.658695), ( 52.626005, 108.000000), ( 72.521997, 108.000000)} 
30     58.285000   216.000000   {  18,   26,   38,   37,   29,   20}, {( 52.626005, 252.000000), ( 40.088263, 229.341305), ( 40.088263, 202.658695), ( 52.626005, 180.000000), ( 72.521997, 180.000000), ( 72.521997, 252.000000)} 
31    -58.285000   216.000000   {  41,   35,   24,   22,   23,   34}, {(-40.088263, 229.341305), (-52.626005, 252.000000), (-72.521997, 252.000000), (-72.521997, 180.000000), (-52.626005, 180.000000), (-40.088263, 202.658695)} 
32      0.000000   126.000000   {  36,   39,   27,   15,   19,   25}, {(  9.087292, 144.000000), ( -9.087292, 144.000000), (-20.096626, 126.291506), (-10.814161, 108.000000), ( 10.814161, 108.000000), ( 20.096626, 126.291506)} 
33      0.000000   234.000000   {  26,   21,   35,   41,   40,   38}, {( 10.814161, 252.000000), (-10.814161, 252.000000), (-20.096626, 233.708494), ( -9.087292, 216.000000), (  9.087292, 216.000000), ( 20.096626, 233.708494)} 
34    -31.723007   180.000000   {  40,   41,   31,   23,   27,   39}, {(-20.096626, 198.291506), (-40.088263, 202.658695), (-52.626005, 180.000000), (-40.088263, 157.341305), (-20.096626, 161.708494), (-10.814161, 180.000000)} 
35    -31.723007   252.000000   {  21,   28,   24,   31,   41,   33}, {(-20.096626, 270.291506), (-40.088263, 274.658695), (-52.626005, 252.000000), (-40.088263, 229.341305), (-20.096626, 233.708494), (-10.814161, 252.000000)} 
36     26.570000   144.000000   {  29,   37,   39,   32,   25,   -1}, {( 40.088263, 157.341305), ( 20.096626, 161.708494), (  9.087292, 144.000000), ( 20.096626, 126.291506), ( 40.088263, 130.658695), ( -1.000000,  -1.000000)} 
37     31.723007   180.000000   {  30,   38,   40,   39,   36,   29}, {( 40.088263, 202.658695), ( 20.096626, 198.291506), ( 10.814161, 180.000000), ( 20.096626, 161.708494), ( 40.088263, 157.341305), ( 52.626005, 180.000000)} 
38     26.570000   216.000000   {  30,   26,   33,   40,   37,   -1}, {( 40.088263, 229.341305), ( 20.096626, 233.708494), (  9.087292, 216.000000), ( 20.096626, 198.291506), ( 40.088263, 202.658695), ( -1.000000,  -1.000000)} 
39      0.000000   162.000000   {  37,   40,   34,   27,   32,   36}, {( 10.814161, 180.000000), (-10.814161, 180.000000), (-20.096626, 161.708494), ( -9.087292, 144.000000), (  9.087292, 144.000000), ( 20.096626, 161.708494)} 
40      0.000000   198.000000   {  38,   33,   41,   34,   39,   37}, {(  9.087292, 216.000000), ( -9.087292, 216.000000), (-20.096626, 198.291506), (-10.814161, 180.000000), ( 10.814161, 180.000000), ( 20.096626, 198.291506)} 
41    -26.570000   216.000000   {  33,   35,   31,   34,   40,   -1}, {(-20.096626, 233.708494), (-40.088263, 229.341305), (-40.088263, 202.658695), (-20.096626, 198.291506), ( -9.087292, 216.000000), ( -1.000000,  -1.000000)} 
