ID    NODE_LAT     NODE_LON     FRIENDS LIST                          CENTROID COORD LIST
26     31.723007   324.000000   { 110,   63,  142,  141,   59,  108}, {( 36.115262, 335.207864), ( 26.444451, 334.100236), ( 21.628872, 324.000000), ( 26.444451, 313.899764), ( 36.115262, 312.792136), ( 41.814943, 324.000000)} 
27      0.000000   270.000000   {  60,  143,  144,   84,  139,  133}, {(  5.110087, 278.929237), ( -5.287353, 278.610001), (-10.261345, 269.387968), ( -5.110087, 261.070763), (  5.287353, 261.389999), ( 10.261345, 270.612032)} 
28      0.000000   306.000000   { 141,  145,   88,  146,  143,   61}, {(  5.287353, 314.610001), ( -5.110087, 314.929237), (-10.261345, 306.612032), ( -5.287353, 297.389999), (  5.110087, 297.070763), ( 10.261345, 305.387968)} 
29     31.723007    36.000000   { 113,   68,  148,  147,   64,  111}, {( 36.115262,  47.207864), ( 26.444451,  46.100236), ( 21.628872,  36.000000), ( 26.444451,  25.899764), ( 36.115262,  24.792136), ( 41.814943,  36.000000)} 
30      0.000000   342.000000   {  65,  149,  150,   89,  145,  142}, {(  5.110087, 350.929237), ( -5.287353, 350.610001), (-10.261345, 341.387968), ( -5.110087, 333.070763), (  5.287353, 333.389999), ( 10.261345, 342.612032)} 
31      0.000000    18.000000   { 147,  151,   93,  152,  149,   66}, {(  5.287353,  26.610001), ( -5.110087,  26.929237), (-10.261345,  18.612032), ( -5.287353,   9.389999), (  5.110087,   9.070763), ( 10.261345,  17.387968)} 
32     31.723007   108.000000   { 116,   74,  154,  153,   69,  114}, {( 36.115262, 119.207864), ( 26.444451, 118.100236), ( 21.628872, 108.000000), ( 26.444451,  97.899764), ( 36.115262,  96.792136), ( 41.814943, 108.000000)} 
33      0.000000    54.000000   {  70,  155,  156,   94,  151,  148}, {(  5.110087,  62.929237), ( -5.287353,  62.610001), (-10.261345,  53.387968), ( -5.110087,  45.070763), (  5.287353,  45.389999), ( 10.261345,  54.612032)} 
34      0.000000    90.000000   { 153,  157,   98,  158,  155,   71}, {(  5.287353,  98.610001), ( -5.110087,  98.929237), (-10.261345,  90.612032), ( -5.287353,  81.389999), (  5.110087,  81.070763), ( 10.261345,  89.387968)} 
35      0.000000   162.000000   { 135,  137,   79,  160,  159,   75}, {(  5.287353, 170.610001), ( -5.110087, 170.929237), (-10.261345, 162.612032), ( -5.287353, 153.389999), (  5.110087, 153.070763), ( 10.261345, 161.387968)} 
36      0.000000   126.000000   {  76,  159,  161,   99,  157,  154}, {(  5.110087, 134.929237), ( -5.287353, 134.610001), (-10.261345, 125.387968), ( -5.110087, 117.070763), (  5.287353, 117.389999), ( 10.261345, 126.612032)} 
