ID    NODE_LAT     NODE_LON     FRIENDS LIST                          CENTROID COORD LIST
113    46.357141    49.613822   {  15,   67,   68,   29,  111,  109}, {( 48.980751,  64.586271), ( 39.353214,  59.553616), ( 36.115262,  47.207864), ( 41.814943,  36.000000), ( 52.626080,  36.000000), ( 56.878579,  53.295302)} 
114    46.357141    94.386178   { 112,  116,   32,   69,   67,   15}, {( 52.626080, 108.000000), ( 41.814943, 108.000000), ( 36.115262,  96.792136), ( 39.353214,  84.446384), ( 48.980751,  79.413729), ( 56.878579,  90.704698)} 
115    46.357141   166.386178   { 103,  105,   23,   73,   72,   16}, {( 52.626080, 180.000000), ( 41.814943, 180.000000), ( 36.115262, 168.792136), ( 39.353214, 156.446384), ( 48.980751, 151.413729), ( 56.878579, 162.704698)} 
116    46.357141   121.613822   {  16,   72,   74,   32,  114,  112}, {( 48.980751, 136.586271), ( 39.353214, 131.553616), ( 36.115262, 119.207864), ( 41.814943, 108.000000), ( 52.626080, 108.000000), ( 56.878579, 125.295302)} 
117   -63.437162   216.000000   { 122,   18,   48,   47,   17,  119}, {(-56.878579, 233.295302), (-66.863227, 239.553616), (-73.528954, 216.000000), (-66.863227, 192.446384), (-56.878579, 198.704698), (-52.626080, 216.000000)} 
118   -63.437162   144.000000   { 120,   17,   47,   51,   21,  130}, {(-56.878579, 161.295302), (-66.863227, 167.553616), (-73.528954, 144.000000), (-66.863227, 120.446384), (-56.878579, 126.704698), (-52.626080, 144.000000)} 
119   -46.357141   202.386178   {  37,  122,  117,   17,   77,   80}, {(-41.814943, 216.000000), (-52.626080, 216.000000), (-56.878579, 198.704698), (-48.980751, 187.413729), (-39.353214, 192.446384), (-36.115262, 204.792136)} 
120   -46.357141   157.613822   {  81,   77,   17,  118,  130,   38}, {(-39.353214, 167.553616), (-48.980751, 172.586271), (-56.878579, 161.295302), (-52.626080, 144.000000), (-41.814943, 144.000000), (-36.115262, 155.207864)} 
121   -63.437162   288.000000   { 125,   19,   49,   48,   18,  123}, {(-56.878579, 305.295302), (-66.863227, 311.553616), (-73.528954, 288.000000), (-66.863227, 264.446384), (-56.878579, 270.704698), (-52.626080, 288.000000)} 
122   -46.357141   229.613822   {  85,   82,   18,  117,  119,   37}, {(-39.353214, 239.553616), (-48.980751, 244.586271), (-56.878579, 233.295302), (-52.626080, 216.000000), (-41.814943, 216.000000), (-36.115262, 227.207864)} 
123   -46.357141   274.386178   {  39,  125,  121,   18,   82,   86}, {(-41.814943, 288.000000), (-52.626080, 288.000000), (-56.878579, 270.704698), (-48.980751, 259.413729), (-39.353214, 264.446384), (-36.115262, 276.792136)} 
124   -63.437162     0.000000   { 128,   20,   50,   49,   19,  126}, {(-56.878579,  17.295302), (-66.863227,  23.553616), (-73.528954,   0.000000), (-66.863227, 336.446384), (-56.878579, 342.704698), (-52.626080,   0.000000)} 
125   -46.357141   301.613822   {  90,   87,   19,  121,  123,   39}, {(-39.353214, 311.553616), (-48.980751, 316.586271), (-56.878579, 305.295302), (-52.626080, 288.000000), (-41.814943, 288.000000), (-36.115262, 299.207864)} 
126   -46.357141   346.386178   {  40,  128,  124,   19,   87,   91}, {(-41.814943,   0.000000), (-52.626080,   0.000000), (-56.878579, 342.704698), (-48.980751, 331.413729), (-39.353214, 336.446384), (-36.115262, 348.792136)} 
127   -63.437162    72.000000   { 131,   21,   51,   50,   20,  129}, {(-56.878579,  89.295302), (-66.863227,  95.553616), (-73.528954,  72.000000), (-66.863227,  48.446384), (-56.878579,  54.704698), (-52.626080,  72.000000)} 
128   -46.357141    13.613822   {  95,   92,   20,  124,  126,   40}, {(-39.353214,  23.553616), (-48.980751,  28.586271), (-56.878579,  17.295302), (-52.626080,   0.000000), (-41.814943,   0.000000), (-36.115262,  11.207864)} 
129   -46.357141    58.386178   {  41,  131,  127,   20,   92,   96}, {(-41.814943,  72.000000), (-52.626080,  72.000000), (-56.878579,  54.704698), (-48.980751,  43.413729), (-39.353214,  48.446384), (-36.115262,  60.792136)} 
130   -46.357141   130.386178   {  38,  120,  118,   21,   97,  100}, {(-41.814943, 144.000000), (-52.626080, 144.000000), (-56.878579, 126.704698), (-48.980751, 115.413729), (-39.353214, 120.446384), (-36.115262, 132.792136)} 
131   -46.357141    85.613822   { 101,   97,   21,  127,  129,   41}, {(-39.353214,  95.553616), (-48.980751, 100.586271), (-56.878579,  89.295302), (-52.626080,  72.000000), (-41.814943,  72.000000), (-36.115262,  83.207864)} 
132    16.048344   242.267699   {  22,  133,  139,   25,   56,   53}, {( 21.628872, 252.000000), ( 10.814597, 252.000000), (  5.287353, 242.610001), ( 10.261345, 233.387968), ( 20.521191, 232.734482), ( 26.444451, 241.899764)} 
133    16.048344   261.732301   {  58,   60,   27,  139,  132,   22}, {( 20.521191, 271.265518), ( 10.261345, 270.612032), (  5.287353, 261.389999), ( 10.814597, 252.000000), ( 21.628872, 252.000000), ( 26.444451, 262.100236)} 
134    16.048344   189.732301   {  54,   55,   24,  137,  135,   23}, {( 20.521191, 199.265518), ( 10.261345, 198.612032), (  5.287353, 189.389999), ( 10.814597, 180.000000), ( 21.628872, 180.000000), ( 26.444451, 190.100236)} 
135    16.048344   170.267699   {  23,  134,  137,   35,   75,   73}, {( 21.628872, 180.000000), ( 10.814597, 180.000000), (  5.287353, 170.610001), ( 10.261345, 161.387968), ( 20.521191, 160.734482), ( 26.444451, 169.899764)} 
136     0.000000   216.000000   {  56,   25,  140,  138,   24,   55}, {(  5.110087, 225.070763), ( -5.287353, 225.389999), (-10.814597, 216.000000), ( -5.287353, 206.610001), (  5.110087, 206.929237), ( 10.094975, 216.000000)} 
137     0.000000   180.000000   { 134,   24,   78,   79,   35,  135}, {(  5.287353, 189.389999), ( -5.110087, 189.070763), (-10.094975, 180.000000), ( -5.110087, 170.929237), (  5.287353, 170.610001), ( 10.814597, 180.000000)} 
138   -16.048344   206.267699   { 136,  140,   37,   80,   78,   24}, {(-10.814597, 216.000000), (-21.628872, 216.000000), (-26.444451, 205.899764), (-20.521191, 196.734482), (-10.261345, 197.387968), ( -5.287353, 206.610001)} 
139     0.000000   252.000000   { 133,   27,   84,   83,   25,  132}, {(  5.287353, 261.389999), ( -5.110087, 261.070763), (-10.094975, 252.000000), ( -5.110087, 242.929237), (  5.287353, 242.610001), ( 10.814597, 252.000000)} 
140   -16.048344   225.732301   {  25,   83,   85,   37,  138,  136}, {(-10.261345, 234.612032), (-20.521191, 235.265518), (-26.444451, 226.100236), (-21.628872, 216.000000), (-10.814597, 216.000000), ( -5.287353, 225.389999)} 
141    16.048344   314.267699   {  26,  142,  145,   28,   61,   59}, {( 21.628872, 324.000000), ( 10.814597, 324.000000), (  5.287353, 314.610001), ( 10.261345, 305.387968), ( 20.521191, 304.734482), ( 26.444451, 313.899764)} 
142    16.048344   333.732301   {  63,   65,   30,  145,  141,   26}, {( 20.521191, 343.265518), ( 10.261345, 342.612032), (  5.287353, 333.389999), ( 10.814597, 324.000000), ( 21.628872, 324.000000), ( 26.444451, 334.100236)} 
143     0.000000   288.000000   {  61,   28,  146,  144,   27,   60}, {(  5.110087, 297.070763), ( -5.287353, 297.389999), (-10.814597, 288.000000), ( -5.287353, 278.610001), (  5.110087, 278.929237), ( 10.094975, 288.000000)} 
144   -16.048344   278.267699   { 143,  146,   39,   86,   84,   27}, {(-10.814597, 288.000000), (-21.628872, 288.000000), (-26.444451, 277.899764), (-20.521191, 268.734482), (-10.261345, 269.387968), ( -5.287353, 278.610001)} 
145     0.000000   324.000000   { 142,   30,   89,   88,   28,  141}, {(  5.287353, 333.389999), ( -5.110087, 333.070763), (-10.094975, 324.000000), ( -5.110087, 314.929237), (  5.287353, 314.610001), ( 10.814597, 324.000000)} 
146   -16.048344   297.732301   {  28,   88,   90,   39,  144,  143}, {(-10.261345, 306.612032), (-20.521191, 307.265518), (-26.444451, 298.100236), (-21.628872, 288.000000), (-10.814597, 288.000000), ( -5.287353, 297.389999)} 
147    16.048344    26.267699   {  29,  148,  151,   31,   66,   64}, {( 21.628872,  36.000000), ( 10.814597,  36.000000), (  5.287353,  26.610001), ( 10.261345,  17.387968), ( 20.521191,  16.734482), ( 26.444451,  25.899764)} 
148    16.048344    45.732301   {  68,   70,   33,  151,  147,   29}, {( 20.521191,  55.265518), ( 10.261345,  54.612032), (  5.287353,  45.389999), ( 10.814597,  36.000000), ( 21.628872,  36.000000), ( 26.444451,  46.100236)} 
149     0.000000     0.000000   {  66,   31,  152,  150,   30,   65}, {(  5.110087,   9.070763), ( -5.287353,   9.389999), (-10.814597,   0.000000), ( -5.287353, 350.610001), (  5.110087, 350.929237), ( 10.094975,   0.000000)} 
150   -16.048344   350.267699   { 149,  152,   40,   91,   89,   30}, {(-10.814597,   0.000000), (-21.628872,   0.000000), (-26.444451, 349.899764), (-20.521191, 340.734482), (-10.261345, 341.387968), ( -5.287353, 350.610001)} 
151     0.000000    36.000000   { 148,   33,   94,   93,   31,  147}, {(  5.287353,  45.389999), ( -5.110087,  45.070763), (-10.094975,  36.000000), ( -5.110087,  26.929237), (  5.287353,  26.610001), ( 10.814597,  36.000000)} 
152   -16.048344     9.732301   {  31,   93,   95,   40,  150,  149}, {(-10.261345,  18.612032), (-20.521191,  19.265518), (-26.444451,  10.100236), (-21.628872,   0.000000), (-10.814597,   0.000000), ( -5.287353,   9.389999)} 
153    16.048344    98.267699   {  32,  154,  157,   34,   71,   69}, {( 21.628872, 108.000000), ( 10.814597, 108.000000), (  5.287353,  98.610001), ( 10.261345,  89.387968), ( 20.521191,  88.734482), ( 26.444451,  97.899764)} 
154    16.048344   117.732301   {  74,   76,   36,  157,  153,   32}, {( 20.521191, 127.265518), ( 10.261345, 126.612032), (  5.287353, 117.389999), ( 10.814597, 108.000000), ( 21.628872, 108.000000), ( 26.444451, 118.100236)} 
155     0.000000    72.000000   {  71,   34,  158,  156,   33,   70}, {(  5.110087,  81.070763), ( -5.287353,  81.389999), (-10.814597,  72.000000), ( -5.287353,  62.610001), (  5.110087,  62.929237), ( 10.094975,  72.000000)} 
156   -16.048344    62.267699   { 155,  158,   41,   96,   94,   33}, {(-10.814597,  72.000000), (-21.628872,  72.000000), (-26.444451,  61.899764), (-20.521191,  52.734482), (-10.261345,  53.387968), ( -5.287353,  62.610001)} 
157     0.000000   108.000000   { 154,   36,   99,   98,   34,  153}, {(  5.287353, 117.389999), ( -5.110087, 117.070763), (-10.094975, 108.000000), ( -5.110087,  98.929237), (  5.287353,  98.610001), ( 10.814597, 108.000000)} 
158   -16.048344    81.732301   {  34,   98,  101,   41,  156,  155}, {(-10.261345,  90.612032), (-20.521191,  91.265518), (-26.444451,  82.100236), (-21.628872,  72.000000), (-10.814597,  72.000000), ( -5.287353,  81.389999)} 
159     0.000000   144.000000   {  75,   35,  160,  161,   36,   76}, {(  5.110087, 153.070763), ( -5.287353, 153.389999), (-10.814597, 144.000000), ( -5.287353, 134.610001), (  5.110087, 134.929237), ( 10.094975, 144.000000)} 
160   -16.048344   153.732301   {  35,   79,   81,   38,  161,  159}, {(-10.261345, 162.612032), (-20.521191, 163.265518), (-26.444451, 154.100236), (-21.628872, 144.000000), (-10.814597, 144.000000), ( -5.287353, 153.389999)} 
161   -16.048344   134.267699   { 159,  160,   38,  100,   99,   36}, {(-10.814597, 144.000000), (-21.628872, 144.000000), (-26.444451, 133.899764), (-20.521191, 124.734482), (-10.261345, 125.387968), ( -5.287353, 134.610001)} 
